Identification Rate,Mean L-error,Subject ID
1.0,3.475212497923311,drr_sub-verse012
0.8235294117647058,28.424592613433735,drr_sub-verse020
0.8235294117647058,26.13727907233366,drr_sub-verse029
1.0,12.225378993822156,drr_sub-verse032
0.5714285714285714,46.68643250991431,drr_sub-verse038
0.7777777777777778,20.742773667796808,drr_sub-verse040
0.7647058823529411,34.548899826949246,drr_sub-verse050
1.0,11.11374659134742,drr_sub-verse053
1.0,7.372730107862628,drr_sub-verse054
1.0,26.706648735868114,drr_sub-verse055
0.8571428571428571,23.923307926764064,drr_sub-verse059
1.0,6.751441023622476,drr_sub-verse066
0.8888888888888888,43.25114176680507,drr_sub-verse070
0.75,28.75408371360267,drr_sub-verse081
0.8333333333333334,39.31002513801102,drr_sub-verse083
1.0,39.444290210652554,drr_sub-verse085
1.0,2.5074590704877835,drr_sub-verse089
0.9411764705882353,144.6788591670862,drr_sub-verse092
0.8823529411764706,34.54783064555638,drr_sub-verse101
0.6086956521739131,104.33752400407191,drr_sub-verse108
0.7692307692307693,27.156925912622874,drr_sub-verse119
1.0,4.404791436244508,drr_sub-verse130
0.8888888888888888,43.02735827642944,drr_sub-verse131
1.0,22.726739877570054,drr_sub-verse138
1.0,7.921153104850073,drr_sub-verse143
0.8888888888888888,90.66813540021809,drr_sub-verse144
1.0,2.1312870656166107,drr_sub-verse147
1.0,7.893688617212486,drr_sub-verse149
1.0,43.59109811477743,drr_sub-verse154
1.0,506.97740504277886,drr_sub-verse217
0.8260869565217391,60.89282152434382,drr_sub-verse236
1.0,528.1032693729662,drr_sub-verse250
1.0,11.000050377460372,drr_sub-verse260
0.8235294117647058,67.05305308231765,drr_sub-verse271
0.5,425.2740595972915,drr_sub-verse414
0.0,,drr_sub-verse416
1.0,1.8837117747411276,drr_sub-verse417
